127.0.0.1 - - [15/Feb/2026:11:12:03 +0300] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:44 +0300] "GET /mavenHealthcare/ HTTP/1.1" 200 11043
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:44 +0300] "GET /mavenHealthcare/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:44 +0300] "GET /mavenHealthcare/img/hero-1.jpg HTTP/1.1" 200 300732
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:44 +0300] "GET /mavenHealthcare/img/hero-2.jpg HTTP/1.1" 200 189204
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:45 +0300] "GET /mavenHealthcare/img/doct.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:45 +0300] "GET /mavenHealthcare/img/doc1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:45 +0300] "GET /mavenHealthcare/img/hero-3.jpg HTTP/1.1" 200 225875
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:45 +0300] "GET /mavenHealthcare/img/doc2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:45 +0300] "GET /mavenHealthcare/img/doc4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:13:45 +0300] "GET /mavenHealthcare/img/doc3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:21:17 +0300] "GET /mavenHealthcare/ HTTP/1.1" 200 11043
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:21:18 +0300] "GET /mavenHealthcare/img/hero-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:21:18 +0300] "GET /mavenHealthcare/img/hero-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:21:18 +0300] "GET /mavenHealthcare/img/hero-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:21:55 +0300] "GET /mavenHealthcare/admin_login.jsp HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:22:20 +0300] "GET /mavenHealthcare/user_login.jsp HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [15/Feb/2026:11:22:32 +0300] "GET /mavenHealthcare/signup.jsp HTTP/1.1" 200 3220
